Gene	apo_rank	ABrank	ALrank
CLCA2	1	295	46
ABCA12	2	105	82
ALDH3B2	3	19	75
MPHOSPH6	4	23	3
PIP	5	1	287
FOXA1	6	10	NA
HGD	7	89	178
AKR1B10	8	NA	90
LBP	9	NA	395
TFAP2B	10	15	67
KYNU	11	222	1
S100A8	12	NA	256
DUSP6	13	NA	NA
GALNT7	14	76	NA
G6PD	15	269	218
FAIM2	16	NA	NA
FGG	17	NA	NA
EPLIN	18	359	NA
AR	19	37	313
CROT	20	33	149
TM4SF3	21	NA	200
IDH1	22	24	2
DHCR24	23	46	51
HMGCS2	24	79	NA
PNMT	25	NA	NA
TMC5	26	NA	NA
S100A9	27	NA	320
PERLD1	28	NA	NA
GPRC5C	29	NA	NA
FHOD1	30	NA	NA
CRAT	31	205	NA
SPDEF	32	42	NA
FGFR4	33	NA	NA
KIAA1102	34	305	56
SIDT1	35	NA	NA
SH3BP4	36	242	NA
FZD4	37	NA	NA
ZDHHC3	38	NA	NA
ETFA	39	252	146
TSPAN-1	40	NA	NA
APOD	41	3	92
SC5DL	42	282	NA
LOC400451	43	137	NA
FLJ14146	44	NA	NA
FLJ22104	45	93	NA
TM4SF15	46	NA	NA
OAZ3	47	NA	185
TP53AP1	48	88	NA
CYP2J2	49	133	216
GPD1L	50	NA	NA
DNMT3B	51	NA	NA
AKR1A1	52	130	245
ITGB6	53	NA	NA
IDH2	54	118	150
PSMD5	55	NA	NA
ZCWCC2	56	NA	213
FLJ20296	57	110	NA
TTC12	58	NA	NA
IQGAP2	59	NA	NA
GRB7	60	NA	NA
FAH	61	266	NA
KMO	62	168	42
FLJ20605	63	NA	NA
PDLIM1	64	262	354
DGKD	65	NA	NA
SPRY1	66	NA	NA
SLCO2A1	67	NA	NA
ACE2	68	290	26
FUT3	69	NA	NA
DJ167A19.1	70	NA	NA
CYB5	71	357	117
GUCY1A2	72	NA	NA
ACTC	73	NA	NA
CKAP4	74	NA	NA
PECI	75	NA	NA
GJB1	76	NA	NA
SLC16A2	77	NA	NA
STS	78	NA	NA
QP-C	79	NA	NA
ALDH4A1	80	NA	NA
SLC12A2	81	NA	NA
CLGN	82	288	NA
BLNK	83	NA	219
RAP1GA1	84	NA	NA
KLF8	85	NA	NA
SARA2	86	188	242
SEMA3C	87	NA	NA
RHOB	88	396	NA
DUSP4	89	170	NA
RAB27B	90	NA	NA
GPC4	91	NA	NA
PIK3R3	92	NA	NA
CRYM	93	NA	NA
CAMP	94	NA	NA
TNIK	95	NA	NA
GCHFR	96	NA	NA
SEMA3E	97	NA	NA
ZP2	98	NA	NA
CBR3	99	NA	NA
GALNT6	100	NA	NA
DUSP10	101	340	NA
PDZK3	102	NA	212
PRODH	103	NA	NA
PEX11A	104	341	NA
AGR2	105	NA	NA
TGFB1I4	106	NA	NA
HRASLS2	107	149	NA
SESN1	108	NA	NA
HPX	109	NA	NA
ACOX2	110	206	NA
RAB26	111	NA	NA
ATOX1	112	NA	NA
KIAA0703	113	NA	NA
ALOX15B	114	NA	NA
TGFB3	115	NA	NA
MGC52110	116	NA	NA
ERBB2	117	NA	NA
RGS3	118	NA	NA
QPRT	119	NA	288
RND1	120	30	NA
RNF103	121	NA	NA
SNPH	122	NA	NA
MSX2	123	71	176
SDHA	124	NA	NA
PXMP4	125	NA	NA
EAF2	126	NA	NA
SQRDL	127	NA	NA
MLPH	128	11	NA
GOT1	129	NA	NA
FLJ10134	130	NA	NA
ACSL1	131	333	125
EMP2	132	NA	NA
ICA1	133	NA	NA
FGB	134	NA	NA
ARH	135	NA	NA
UGT2B15	136	NA	NA
CRISP3	137	354	NA
CES1	138	117	23
DBI	139	47	9
SPRED2	140	14	116
GNMT	141	153	365
EGLN3	142	NA	NA
RARRES3	143	NA	NA
KIAA1598	144	NA	NA
ALDH2	145	NA	NA
CKMT1	146	NA	NA
GALNT10	147	NA	NA
ABCC3	148	NA	NA
KLHL2	149	NA	NA
NKX2-2	150	NA	NA
PLXNB3	151	NA	NA
HUMPPA	152	NA	NA
ADH1C	153	NA	NA
RABL4	154	NA	NA
IL13RA1	155	NA	NA
HSD17B2	156	NA	79
CNTNAP2	157	351	NA
UNG2	158	NA	NA
