AR	FOXA1	GATA3	TFAP2B	n	nH3K27ac	H3K27ac	promoter	enhancer	d
FALSE	TRUE	FALSE	FALSE	59404	7620	0.12827419029021614	4337	3283	12020
FALSE	TRUE	TRUE	FALSE	9760	1769	0.18125	539	1230	13608
FALSE	FALSE	FALSE	TRUE	6655	5332	0.8012021036814425	4676	656	39
TRUE	TRUE	TRUE	FALSE	6518	1644	0.2522246087756981	252	1392	15379.5
TRUE	TRUE	TRUE	TRUE	6336	3685	0.5815972222222222	758	2927	11774.5
FALSE	FALSE	TRUE	FALSE	4284	840	0.19607843137254902	513	327	9293.5
FALSE	TRUE	FALSE	TRUE	3849	2485	0.6456222395427383	1465	1020	3018
TRUE	TRUE	FALSE	FALSE	3543	631	0.1780976573525261	153	478	12193
TRUE	TRUE	FALSE	TRUE	1786	1124	0.6293393057110862	353	771	7787
FALSE	TRUE	TRUE	TRUE	1441	749	0.5197779319916724	268	481	8186
FALSE	FALSE	TRUE	TRUE	396	240	0.6060606060606061	155	85	1945
TRUE	FALSE	FALSE	FALSE	395	55	0.13924050632911392	22	33	11573
TRUE	FALSE	TRUE	FALSE	158	26	0.16455696202531644	8	18	13275.5
TRUE	FALSE	FALSE	TRUE	135	75	0.5555555555555556	46	29	2591
TRUE	FALSE	TRUE	TRUE	61	34	0.5573770491803278	13	21	4929
