sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"CLCA2","Approved symbol","CLCA2","chloride channel accessory 2","HGNC:2016","1p22.3"
"ABCA12","Approved symbol","ABCA12","ATP binding cassette subfamily A member 12","HGNC:14637","2q35"
"ALDH3B2","Approved symbol","ALDH3B2","aldehyde dehydrogenase 3 family member B2","HGNC:411","11q13.2"
"MPHOSPH6","Approved symbol","MPHOSPH6","M-phase phosphoprotein 6","HGNC:7214","16q23.3"
"PIP","Approved symbol","PIP","prolactin induced protein","HGNC:8993","7q34"
"FOXA1","Approved symbol","FOXA1","forkhead box A1","HGNC:5021","14q21.1"
"HGD","Approved symbol","HGD","homogentisate 1,2-dioxygenase","HGNC:4892","3q13.33"
"AKR1B10","Approved symbol","AKR1B10","aldo-keto reductase family 1 member B10","HGNC:382","7q33"
"LBP","Approved symbol","LBP","lipopolysaccharide binding protein","HGNC:6517","20q11.23"
"TFAP2B","Approved symbol","TFAP2B","transcription factor AP-2 beta","HGNC:11743","6p12.3"
"KYNU","Approved symbol","KYNU","kynureninase","HGNC:6469","2q22.2"
"S100A8","Approved symbol","S100A8","S100 calcium binding protein A8","HGNC:10498","1q21.3"
"DUSP6","Approved symbol","DUSP6","dual specificity phosphatase 6","HGNC:3072","12q21.33"
"GALNT7","Approved symbol","GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","HGNC:4129","4q34.1"
"GALNT7","Alias symbol","GALNT15","polypeptide N-acetylgalactosaminyltransferase 15","HGNC:21531","3p25.1"
"G6PD","Approved symbol","G6PD","glucose-6-phosphate dehydrogenase","HGNC:4057","Xq28"
"FAIM2","Approved symbol","FAIM2","Fas apoptotic inhibitory molecule 2","HGNC:17067","12q13.12"
"FGG","Approved symbol","FGG","fibrinogen gamma chain","HGNC:3694","4q32.1"
"EPLIN","Alias symbol","LIMA1","LIM domain and actin binding 1","HGNC:24636","12q13.12"
"AR","Approved symbol","AR","androgen receptor","HGNC:644","Xq12"
"AR","Alias symbol","AKR1B1","aldo-keto reductase family 1 member B","HGNC:381","7q33"
"CROT","Approved symbol","CROT","carnitine O-octanoyltransferase","HGNC:2366","7q21.12"
"TM4SF3","Previous symbol","TSPAN8","tetraspanin 8","HGNC:11855","12q21.1"
"IDH1","Approved symbol","IDH1","isocitrate dehydrogenase (NADP(+)) 1","HGNC:5382","2q34"
"DHCR24","Approved symbol","DHCR24","24-dehydrocholesterol reductase","HGNC:2859","1p32.3"
"HMGCS2","Approved symbol","HMGCS2","3-hydroxy-3-methylglutaryl-CoA synthase 2","HGNC:5008","1p12"
"PNMT","Approved symbol","PNMT","phenylethanolamine N-methyltransferase","HGNC:9160","17q12"
"TMC5","Approved symbol","TMC5","transmembrane channel like 5","HGNC:22999","16p12.3"
"S100A9","Approved symbol","S100A9","S100 calcium binding protein A9","HGNC:10499","1q21.3"
"PERLD1","Previous symbol","PGAP3","post-GPI attachment to proteins phospholipase 3","HGNC:23719","17q12"
"GPRC5C","Approved symbol","GPRC5C","G protein-coupled receptor class C group 5 member C","HGNC:13309","17q25.1"
"FHOD1","Approved symbol","FHOD1","formin homology 2 domain containing 1","HGNC:17905","16q22.1"
"CRAT","Approved symbol","CRAT","carnitine O-acetyltransferase","HGNC:2342","9q34.11"
"SPDEF","Approved symbol","SPDEF","SAM pointed domain containing ETS transcription factor","HGNC:17257","6p21.31"
"FGFR4","Approved symbol","FGFR4","fibroblast growth factor receptor 4","HGNC:3691","5q35.2"
"KIAA1102","Unmatched","","","",""
"SIDT1","Approved symbol","SIDT1","SID1 transmembrane family member 1","HGNC:25967","3q13.2"
"SH3BP4","Approved symbol","SH3BP4","SH3 domain binding protein 4","HGNC:10826","2q37.2"
"FZD4","Approved symbol","FZD4","frizzled class receptor 4","HGNC:4042","11q14.2"
"ZDHHC3","Approved symbol","ZDHHC3","zinc finger DHHC-type palmitoyltransferase 3","HGNC:18470","3p21.31"
"ETFA","Approved symbol","ETFA","electron transfer flavoprotein subunit alpha","HGNC:3481","15q24.2-q24.3"
"TSPAN-1","Alias symbol","TSPAN1","tetraspanin 1","HGNC:20657","1p34.1"
"APOD","Approved symbol","APOD","apolipoprotein D","HGNC:612","3q29"
"SC5DL","Previous symbol","SC5D","sterol-C5-desaturase","HGNC:10547","11q23.3-q24.1"
"LOC400451","Alias symbol","FAM174B","family with sequence similarity 174 member B","HGNC:34339","15q26.1"
"FLJ14146","Alias symbol","C1orf115","chromosome 1 open reading frame 115","HGNC:25873","1q41"
"FLJ22104","Alias symbol","TMEM135","transmembrane protein 135","HGNC:26167","11q14.2"
"TM4SF15","Previous symbol","TSPAN15","tetraspanin 15","HGNC:23298","10q22.1"
"OAZ3","Approved symbol","OAZ3","ornithine decarboxylase antizyme 3","HGNC:8097","1q21.3"
"TP53AP1","Previous symbol","TP53TG1","TP53 target 1","HGNC:17026","7q21.12"
"CYP2J2","Approved symbol","CYP2J2","cytochrome P450 family 2 subfamily J member 2","HGNC:2634","1p32.1"
"GPD1L","Approved symbol","GPD1L","glycerol-3-phosphate dehydrogenase 1 like","HGNC:28956","3p22.3"
"DNMT3B","Approved symbol","DNMT3B","DNA methyltransferase 3 beta","HGNC:2979","20q11.21"
"AKR1A1","Approved symbol","AKR1A1","aldo-keto reductase family 1 member A1","HGNC:380","1p34.1"
"ITGB6","Approved symbol","ITGB6","integrin subunit beta 6","HGNC:6161","2q24.2"
"IDH2","Approved symbol","IDH2","isocitrate dehydrogenase (NADP(+)) 2","HGNC:5383","15q26.1"
"PSMD5","Approved symbol","PSMD5","proteasome 26S subunit, non-ATPase 5","HGNC:9563","9q33.2"
"ZCWCC2","Previous symbol","MORC4","MORC family CW-type zinc finger 4","HGNC:23485","Xq22.3"
"FLJ20296","Alias symbol","RETSAT","retinol saturase","HGNC:25991","2p11.2"
"TTC12","Approved symbol","TTC12","tetratricopeptide repeat domain 12","HGNC:23700","11q23.2"
"IQGAP2","Approved symbol","IQGAP2","IQ motif containing GTPase activating protein 2","HGNC:6111","5q13.3"
"GRB7","Approved symbol","GRB7","growth factor receptor bound protein 7","HGNC:4567","17q12"
"FAH","Approved symbol","FAH","fumarylacetoacetate hydrolase","HGNC:3579","15q25.1"
"FAH","Alias symbol","FANCA","FA complementation group A","HGNC:3582","16q24.3"
"KMO","Approved symbol","KMO","kynurenine 3-monooxygenase","HGNC:6381","1q43"
"FLJ20605","Alias symbol","MTARC2","mitochondrial amidoxime reducing component 2","HGNC:26064","1q41"
"PDLIM1","Approved symbol","PDLIM1","PDZ and LIM domain 1","HGNC:2067","10q23.33"
"DGKD","Approved symbol","DGKD","diacylglycerol kinase delta","HGNC:2851","2q37.1"
"SPRY1","Approved symbol","SPRY1","sprouty RTK signaling antagonist 1","HGNC:11269","4q28.1"
"SLCO2A1","Approved symbol","SLCO2A1","solute carrier organic anion transporter family member 2A1","HGNC:10955","3q22.1-q22.2"
"ACE2","Approved symbol","ACE2","angiotensin converting enzyme 2","HGNC:13557","Xp22.2"
"FUT3","Approved symbol","FUT3","fucosyltransferase 3 (Lewis blood group)","HGNC:4014","19p13.3"
"DJ167A19.1","Alias symbol","YIPF1","Yip1 domain family member 1","HGNC:25231","1p32.3"
"CYB5","Previous symbol","CYB5A","cytochrome b5 type A","HGNC:2570","18q22.3"
"GUCY1A2","Approved symbol","GUCY1A2","guanylate cyclase 1 soluble subunit alpha 2","HGNC:4684","11q22.3"
"ACTC","Previous symbol","ACTC1","actin alpha cardiac muscle 1","HGNC:143","15q14"
"CKAP4","Approved symbol","CKAP4","cytoskeleton associated protein 4","HGNC:16991","12q23.3"
"PECI","Previous symbol","ECI2","enoyl-CoA delta isomerase 2","HGNC:14601","6p25.2"
"GJB1","Approved symbol","GJB1","gap junction protein beta 1","HGNC:4283","Xq13.1"
"SLC16A2","Approved symbol","SLC16A2","solute carrier family 16 member 2","HGNC:10923","Xq13.2"
"STS","Approved symbol","STS","steroid sulfatase","HGNC:11425","Xp22.31"
"QP-C","Alias symbol","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII","HGNC:29594","5q31.1"
"QP-C","Alias symbol","UQCRB","ubiquinol-cytochrome c reductase binding protein","HGNC:12582","8q22.1"
"ALDH4A1","Approved symbol","ALDH4A1","aldehyde dehydrogenase 4 family member A1","HGNC:406","1p36.13"
"SLC12A2","Approved symbol","SLC12A2","solute carrier family 12 member 2","HGNC:10911","5q23.3"
"CLGN","Approved symbol","CLGN","calmegin","HGNC:2060","4q31.1"
"BLNK","Approved symbol","BLNK","B cell linker","HGNC:14211","10q24.1"
"RAP1GA1","Previous symbol","RAP1GAP","RAP1 GTPase activating protein","HGNC:9858","1p36.12"
"KLF8","Approved symbol","KLF8","Kruppel like factor 8","HGNC:6351","Xp11.21"
"SARA2","Previous symbol","SAR1B","secretion associated Ras related GTPase 1B","HGNC:10535","5q31.1"
"SEMA3C","Approved symbol","SEMA3C","semaphorin 3C","HGNC:10725","7q21.11"
"RHOB","Approved symbol","RHOB","ras homolog family member B","HGNC:668","2p24.1"
"DUSP4","Approved symbol","DUSP4","dual specificity phosphatase 4","HGNC:3070","8p12"
"RAB27B","Approved symbol","RAB27B","RAB27B, member RAS oncogene family","HGNC:9767","18q21.2"
"GPC4","Approved symbol","GPC4","glypican 4","HGNC:4452","Xq26.2"
"PIK3R3","Approved symbol","PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","HGNC:8981","1p34.1"
"CRYM","Approved symbol","CRYM","crystallin mu","HGNC:2418","16p12.2"
"CAMP","Approved symbol","CAMP","cathelicidin antimicrobial peptide","HGNC:1472","3p21.31"
"CAMP","Alias symbol","CHAMP1","chromosome alignment maintaining phosphoprotein 1","HGNC:20311","13q34"
"TNIK","Approved symbol","TNIK","TRAF2 and NCK interacting kinase","HGNC:30765","3q26.2-q26.31"
"GCHFR","Approved symbol","GCHFR","GTP cyclohydrolase I feedback regulator","HGNC:4194","15q15.1"
"SEMA3E","Approved symbol","SEMA3E","semaphorin 3E","HGNC:10727","7q21.11"
"ZP2","Approved symbol","ZP2","zona pellucida glycoprotein 2","HGNC:13188","16p12.3-p12.2"
"CBR3","Approved symbol","CBR3","carbonyl reductase 3","HGNC:1549","21q22.12"
"GALNT6","Approved symbol","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6","HGNC:4128","12q13.13"
"DUSP10","Approved symbol","DUSP10","dual specificity phosphatase 10","HGNC:3065","1q41"
"PDZK3","Previous symbol","PDZD2","PDZ domain containing 2","HGNC:18486","5p13.3"
"PRODH","Approved symbol","PRODH","proline dehydrogenase 1","HGNC:9453","22q11.21"
"PEX11A","Approved symbol","PEX11A","peroxisomal biogenesis factor 11 alpha","HGNC:8852","15q26.1"
"AGR2","Approved symbol","AGR2","anterior gradient 2, protein disulphide isomerase family member","HGNC:328","7p21.1"
"TGFB1I4","Previous symbol","TSC22D1","TSC22 domain family member 1","HGNC:16826","13q14.11"
"HRASLS2","Previous symbol","PLAAT2","phospholipase A and acyltransferase 2","HGNC:17824","11q12.3"
"SESN1","Approved symbol","SESN1","sestrin 1","HGNC:21595","6q21"
"HPX","Approved symbol","HPX","hemopexin","HGNC:5171","11p15.4"
"ACOX2","Approved symbol","ACOX2","acyl-CoA oxidase 2","HGNC:120","3p14.3"
"RAB26","Approved symbol","RAB26","RAB26, member RAS oncogene family","HGNC:14259","16p13.3"
"ATOX1","Approved symbol","ATOX1","antioxidant 1 copper chaperone","HGNC:798","5q33.1"
"KIAA0703","Alias symbol","ATP2C2","ATPase secretory pathway Ca2+ transporting 2","HGNC:29103","16q24.1"
"ALOX15B","Approved symbol","ALOX15B","arachidonate 15-lipoxygenase type B","HGNC:434","17p13.1"
"TGFB3","Approved symbol","TGFB3","transforming growth factor beta 3","HGNC:11769","14q24.3"
"MGC52110","Alias symbol","COA5","cytochrome c oxidase assembly factor 5","HGNC:33848","2q11.2"
